"Name_UID","Person_UID","Name_Type","Place_of_Birth","Date_of_Birth","Forename1","Forename2","Forename3","Forename4","Surname","Forename1_Metaphone","Forename2_Metaphone","Forename3_Metaphone","Forename4_Metaphone","Surname_Metaphone"
221,221,"P","BATTERSEA","1941-01-06","DOROTHY","MAY",NULL,NULL,"RIVERS","TR0","M","","","RFRS"
222,222,"P","MIDDLESEX","1957-01-20","DIANE","PATRICIA",NULL,NULL,"BRACEWELL","TN","PTRX","","","BRSW"
223,223,"P","GREENOCK","1923-01-09","RICHARD",NULL,NULL,NULL,"WARWICK","RXRT","","","","WRWK"
224,224,"P","PAKISTAN","1931-01-18","MOHAMMED",NULL,NULL,NULL,"DOUGLAS","MHMT","","","","TKLS"
225,225,"P","ASHTON/MAKER","1948-01-08","JAMES","ALFRED",NULL,NULL,"MEARNS","JMS","ALFR","","","MRNS"
226,226,"P","BIRMINGHAM","1946-01-26","JOHN","EDWARD",NULL,NULL,"BRODERICK","JN","ETWR","","","BRTR"
227,227,"P","JERSEY","1964-01-24","TERRI","LOUISE",NULL,NULL,"KELSALL","TR","LS","","","KLSL"
228,228,"P","AYLESBURY","1960-01-07","CARMINE",NULL,NULL,NULL,"NOE","KRMN","","","","N"
229,229,"P","CAMBRIDGE","1950-01-10","ROBERT","CHRISTOPHER",NULL,NULL,"WILLIAMS","RBRT","XRST","","","WLMS"
230,230,"P","GLASGOW","1948-01-07","CHARLES","HAMMOND",NULL,NULL,"FIRTH","KRLS","HMNT","","","FR0"
231,231,"P","DUMFRIES","1968-01-24","MARY","ANNE",NULL,NULL,"BOOLS","MR","AN","","","BLS"
232,232,"P","ROMFORD","1959-01-10","STEPHEN","ANTHONY",NULL,NULL,"STEVENSON","STFN","AN0N","","","STFN"
233,233,"P","LIVERPOOL","1953-01-01","CHARLES","EDWARD",NULL,NULL,"THURTLE","KRLS","ETWR","","","0RTL"
234,234,"P","BIRKENHEAD","1954-01-17","DAVID","IAN",NULL,NULL,"HASE","TFT","IN","","","HS"
235,235,"P",NULL,"1970-01-17","PAUL",NULL,NULL,NULL,"DIVENEY","PL","","","","TFN"
236,236,"P",NULL,"1973-01-20","DARREN","RICHARD",NULL,NULL,"RAMM","TRN","RXRT","","","RM"
237,237,"P","WILTSHIRE","1963-01-07","RUSSELL","DAVID",NULL,NULL,"DALEY","RSL","TFT","","","TL"
238,238,"P","DOVER","1939-01-21","BRIAN","JAMES","EDWARD",NULL,"SHAW","BRN","JMS","ETWR","","X"
239,239,"P","SOUTHEND/SEA","1942-01-06","CHRISTOPHER","EDWARD",NULL,NULL,"OSBORNE","XRST","ETWR","","","OSBR"
240,240,"P","BRISTOL","1967-01-06","KATHRYN","JANE",NULL,NULL,"HATCH","K0RN","JN","","","HX"
241,241,"P","COLCHESTER","1973-01-29","VINCENT","PHILIP",NULL,NULL,"FOTHERBY","FNSN","FLP","","","F0RB"
242,242,"P","SOUTHEND","1961-01-09","PETER","ALAN",NULL,NULL,"SCOTT","PTR","ALN","","","SKT"
243,243,"P","WIDNES","1964-01-25","IAN",NULL,NULL,NULL,"RICHARDSON","IN","","","","RXRT"
244,244,"P","DERBY",NULL,"JEAN","MARY",NULL,NULL,"PHILLIPS","JN","MR","","","FLPS"
245,245,"P","WESTON SUPER MARE","1969-01-18","DARREN","FRANCIS","MARK",NULL,"LANE","TRN","FRNS","MRK","","LN"
246,246,"P","REDRUTH","1959-01-08","GARY","CHRISTOPHER",NULL,NULL,"JENNINGS","KR","XRST","","","JNNK"
247,247,"P","MALTON",NULL,"EDWARD","HARRY",NULL,NULL,"DODDS","ETWR","HR","","","TTS"
248,248,"P","IPSWICH","1967-01-08","TIMOTHY",NULL,NULL,NULL,"CURRY","TM0","","","","KR"
249,249,"P","BIRMINGHAM","1963-01-19","JOANNE",NULL,NULL,NULL,"UNSWORTH","JN","","","","UNSW"
250,250,"P","MANCHESTER","1924-01-04","NORMAN",NULL,NULL,NULL,"SMITH","NRMN","","","","SM0"
251,251,"P","FRIMLEY","1978-01-31","ANTONY","JOHN",NULL,NULL,"BLAND","ANTN","JN","","","BLNT"
252,252,"P","SALFORD","1949-01-03","WILLIAM","THOMAS",NULL,NULL,"JUBB","WLM","0MS","","","JB"
253,253,"P","TREVALYN","1949-01-06","JOHN","EDWARD",NULL,NULL,"CARTER","JN","ETWR","","","KRTR"
254,254,"P","NOTTINGHAM","1947-01-08","DEREK","CHARLES",NULL,NULL,"DERBY","TRK","KRLS","","","TRB"
255,255,"P","LENNOXTOWN","1955-01-30","DONALD","BATHGATE",NULL,NULL,"JONES","TNLT","B0KT","","","JNS"
256,256,"P",NULL,"1949-01-06","ANTHONY","MICHAEL",NULL,NULL,"COX","AN0N","MXL","","","KKS"
257,257,"P","FALCONWOOD","1950-01-12","LINDA","ANNE",NULL,NULL,"GILMOUR","LNT","AN","","","JLMR"
258,258,"P","KENT","1961-01-25","STEPHEN","EDWARD",NULL,NULL,"CARTER","STFN","ETWR","","","KRTR"
259,259,"P","OLDHAM","1975-01-06","KELLY","GEORGINA",NULL,NULL,"WHITE","KL","JRJN","","","WT"
260,260,"P","LIVERPOOL","1936-01-21","JOYCE",NULL,NULL,NULL,"GRAHAM","JS","","","","KRHM"
261,261,"P","MIDDLESBRO","1923-01-09","ANDREW",NULL,NULL,NULL,"BRAYHAM","ANTR","","","","BRHM"
262,262,"P","ALDRIDGE","1940-01-06","COLIN","WILLIAM","ERNEST",NULL,"MORGAN","KLN","WLM","ERNS","","MRKN"
263,263,"P","ENGLAND","1976-01-10","JOHN",NULL,NULL,NULL,"POWELL","JN","","","","PWL"
264,264,"P","MANCHESTER","1929-01-26","ANNIE",NULL,NULL,NULL,"SHEEHAN","AN","","","","XHN"
265,265,"P","ROTHERHAM","1962-01-10","DAMIAN",NULL,NULL,NULL,"HOLE","TMN","","","","HL"
266,266,"P","NEWPORT","1965-01-08","SUZANNE",NULL,NULL,NULL,"DIXON","SSN","","","","TKSN"
267,267,"P","JAMAICA","1955-01-24","DESMOND","CARL",NULL,NULL,"KELLAND","TSMN","KRL","","","KLNT"
268,268,"P","NOTTINGHAM","1953-01-05","CHRISTINE","ANNE",NULL,NULL,"BAUGH","XRST","AN","","","B"
269,269,"P","ILFORD","1972-01-21","CAROLYN","ELIZABETH",NULL,NULL,"BELL","KRLN","ELSB","","","BL"
270,270,"P","MARKFIELD","1963-01-03","PETER","JAMES",NULL,NULL,"OGDEN","PTR","JMS","","","OKTN"
271,271,"P","OXFORD","1975-01-07","KIERON","CHARLES","ANDREW",NULL,"DIGIOVANNI","KRN","KRLS","ANTR","","TJFN"
272,272,"P","SOUTHAMPTON","1966-01-13","PAULA","JANE",NULL,NULL,"BREAKWELL","PL","JN","","","BRKW"
273,273,"P","WST BROMWICH","1963-01-26","DAVID","EDWARD",NULL,NULL,"LLOYD-ROBERTS","TFT","ETWR","","","LTRB"
274,274,"P","BEDFORD","1930-01-25","PETER",NULL,NULL,NULL,"STORRS","PTR","","","","STRS"
275,275,"P","BELLSHILL","1976-01-20","KEVIN",NULL,NULL,NULL,"PETERS","KFN","","","","PTRS"
276,276,"P","BIRMINGHAM","1941-01-04","DOREEN","JOYCE",NULL,NULL,"HUDGELL","TRN","JS","","","HJL"
277,277,"P","LONDON","1972-01-02","MARK","GEORGE",NULL,NULL,"WILSON","MRK","JRJ","","","WLSN"
278,278,"P","STOURPRT/SVN","1954-01-24","KENNETH","PAUL",NULL,NULL,"CLAREHUGH","KN0","PL","","","KLRH"
279,279,"P","ABERDARE","1926-01-01","EDWARD","JOHN",NULL,NULL,"NORMAN","ETWR","JN","","","NRMN"
280,280,"P","LIVERPOOL","1966-01-20","DAVID","EDWARD",NULL,NULL,"MACKENZIE","TFT","ETWR","","","MKNS"
281,281,"P",NULL,"1968-01-07","SAMANTHA","DIANE",NULL,NULL,"LAMPTEY","SMN0","TN","","","LMPT"
282,282,"P","CARMARTHEN","1969-01-27","JONATHAN","MARK",NULL,NULL,"HUGHES","JN0N","MRK","","","HKS"
283,283,"P","LIVERPOOL","1963-01-30","WILLIAM",NULL,NULL,NULL,"LAL","WLM","","","","LL"
284,284,"P","SHIPLEY","1974-01-18","DONNA","MICHELLE",NULL,NULL,"NEWTON","TN","MXL","","","NTN"
285,285,"P","GLASGOW","1956-01-26","IAN","CHARLES",NULL,NULL,"SHAKESPEARE","IN","KRLS","","","XKSP"
286,286,"P","YORK","1976-01-02","RICHARD","JAMES",NULL,NULL,"BARCLAY","RXRT","JMS","","","BRKL"
287,287,"P","CAMBERWELL","1932-01-10","BARBARA",NULL,NULL,NULL,"ALARE","BRBR","","","","ALR"
288,288,"P","HARROGATE","1954-01-10","RAYMOND","PAUL",NULL,NULL,"JENKINS","RMNT","PL","","","JNKN"
289,289,"P","BRIDGEND","1959-01-07","LEIGHTON","ROY",NULL,NULL,"ECTOR","LTN","R","","","EKTR"
290,290,"P",NULL,"1944-01-02","GIDEON",NULL,NULL,NULL,"MCDOUGALL","JTN","","","","MKTK"
291,291,"P","BOURNEMOUTH","1946-01-20","BRIAN","ANTHONY",NULL,NULL,"SUMMERS","BRN","AN0N","","","SMRS"
292,292,"P","LEICESTER","1974-01-05","CHRISTOPHER","ANDREW",NULL,NULL,"WELSH","XRST","ANTR","","","WLX"
293,293,"P","BRADFORD","1955-01-25","TERRANCE",NULL,NULL,NULL,"WALTON","TRNS","","","","WLTN"
294,294,"P","HAUGHTON","1926-01-02","DORIS",NULL,NULL,NULL,"OGUNDARE","TRS","","","","OKNT"
295,295,"P","BELPER DERBYS","1945-01-30","RICHARD","MELVIN",NULL,NULL,"BARRIGAN","RXRT","MLFN","","","BRKN"
296,296,"P","BIRMINGHAM","1954-01-21","JEFFREY","PAUL",NULL,NULL,"BRIERLEY","JFR","PL","","","BRRL"
297,297,"P","GHANA","1952-01-22","ERNEST","KOFI",NULL,NULL,"ABBOTT","ERNS","KF","","","ABT"
298,298,"P","HONG KONG","1932-01-26","NGAN",NULL,NULL,NULL,"DAVIES","NKN","","","","TFS"
299,299,"P","JAMAICA","1964-01-03","JENNIFER","JACKIE",NULL,NULL,"SMITH","JNFR","JK","","","SM0"
300,300,"P","PLAISTOW","1966-01-07","RAYMOND","JOHN",NULL,NULL,"BALDWIN","RMNT","JN","","","BLTW"
301,301,"P","NEW HOUGHTON","1964-01-29","ROY",NULL,NULL,NULL,"BELL","R","","","","BL"
302,302,"P","INDIA","1949-01-08","TARLOCHAN","SINGH",NULL,NULL,"XUEREB","TRLX","SN","","","SRB"
303,303,"P","WEDNESBURY","1940-01-28","ALBERT","JAMES",NULL,NULL,"SHORT","ALBR","JMS","","","XRT"
304,304,"P","SOUTHAMPTON","1945-01-16","MICHAEL","JOHN",NULL,NULL,"WERRETT","MXL","JN","","","WRT"
305,305,"P","LEEDS","1928-01-17","EDWARD",NULL,NULL,NULL,"RICHARDS","ETWR","","","","RXRT"
306,306,"P","BRISTOL","1972-01-03","PATRICK","MARTYN",NULL,NULL,"TIERNEY","PTRK","MRTN","","","TRN"
307,307,"P","LARACHE, MOROCCO","1934-01-16","MOHANNED","AHMED",NULL,NULL,"MORGAN","MHNT","AMT","","","MRKN"
308,308,"P","CEYLON","1954-01-28","SWEENI",NULL,NULL,NULL,"AUCOULON","SWN","","","","AKLN"
309,309,"P","WAKEFIELD","1968-01-18","FAROOK",NULL,NULL,NULL,"WILLIAMSON","FRK","","","","WLMS"
310,310,"P","ST ASAPH","1960-01-21","DAVID","PHILIP",NULL,NULL,"BACON","TFT","FLP","","","BKN"
311,311,"P","SWANSEA","1957-01-02","STEPHEN","PAUL",NULL,NULL,"RUSSON","STFN","PL","","","RSN"
312,312,"P","REDCAR","1948-01-08","DENNIS","MORGAN",NULL,NULL,"HOLT","TNS","MRKN","","","HLT"
313,313,"P","BIRMINGHAM","1958-01-31","MARGARET","TERESA","CHRISTINE",NULL,"HARDWICK","MRKR","TRS","XRST","","HRTW"
314,314,"P","MIDDLESBRO","1959-01-28","MICHAEL",NULL,NULL,NULL,"TURNER","MXL","","","","TRNR"
315,315,"P","BAWTRY","1969-01-04","MELANIE","JANE",NULL,NULL,"WILLIAMS","MLN","JN","","","WLMS"
316,316,"P","NUNEATON","1964-01-10","JAMES","ROBERT",NULL,NULL,"DIX","JMS","RBRT","","","TKS"
317,317,"P","LIVERPOOL","1949-01-13","CAROL",NULL,NULL,NULL,"AYRES","KRL","","","","ARS"
318,318,"P","DARLASTON","1951-01-17","JENNIFER","ANN",NULL,NULL,"MELIA","JNFR","AN","","","ML"
319,319,"P","STOCKTON","1960-01-09","PAUL",NULL,NULL,NULL,"OAKLEY","PL","","","","OKL"
320,320,"P","VIENNA","1956-01-16","VERONICA",NULL,NULL,NULL,"CUMING","FRNK","","","","KMNK"
321,321,"P","STEPNEY LDN","1967-01-14","JOHN","STEPHEN",NULL,NULL,"MCGRATH","JN","STFN","","","MKKR"
322,322,"P","PAISLEY","1976-01-16","ANTHONY",NULL,NULL,NULL,"MILLS","AN0N","","","","MLS"
323,323,"P","STOCKTON","1958-01-06","KEITH","ANDREW","CHRISTOPHER",NULL,"PENGLASE","K0","ANTR","XRST","","PNKL"
324,324,"P","KINGSTON UPON THAMES","1948-01-23","PATRICK","JOHN",NULL,NULL,"MITSON","PTRK","JN","","","MTSN"
325,325,"P","PARIS","1950-01-26","PATRICK","DANIEL",NULL,NULL,"BLACKSHAW","PTRK","TNL","","","BLKX"
326,326,"P","HINCKLEY","1961-01-29","CRAIG","BRIAN",NULL,NULL,"REEDER","KRK","BRN","","","RTR"
327,327,"P","BOLTON","1950-01-24","ROBERT",NULL,NULL,NULL,"STARK","RBRT","","","","STRK"
328,328,"P","PRESTON","1975-01-19","MARK","ROBERT",NULL,NULL,"LOUARRADI","MRK","RBRT","","","LRT"
329,329,"P","CO CAVERN","1951-01-21","TERRENCE",NULL,NULL,NULL,"HILL","TRNS","","","","HL"
330,330,"P","BEVERLEY","1969-01-11","IAN","RICHARD",NULL,NULL,"BARKER","IN","RXRT","","","BRKR"
331,331,"P","SWINDON","1968-01-23","TRACY","JANE",NULL,NULL,"MCCONNELL","TRS","JN","","","MKKN"
332,332,"P","KELTY","1959-01-14","CAROL","JESSICA","REID",NULL,"TANGI","KRL","JSK","RT","","TNJ"
333,333,"P","MANCHESTER","1974-01-20","GREGG",NULL,NULL,NULL,"BEST","KRK","","","","BST"
334,334,"P","JAMAICA","1928-01-29","LESLIE","RUPERT",NULL,NULL,"WILSON","LSL","RPRT","","","WLSN"
335,335,"P","BROMLEY","1960-01-16","TIMOTHY","JOHN",NULL,NULL,"CARBERRY","TM0","JN","","","KRBR"
336,336,"P","LEEDS","1925-01-31","HARRY",NULL,NULL,NULL,"BRIDGEN","HR","","","","BRJN"
337,337,"P","BARBADOS","1937-01-05","PEARL","AGATHA","AMANDA",NULL,"YOUNG","PRL","AK0","AMNT","","YNK"
338,338,"P","ROCHDALE","1969-01-13","HELEN",NULL,NULL,NULL,"DIXON","HLN","","","","TKSN"
339,339,"P","GLASGOW","1947-01-22","WILLIAM",NULL,NULL,NULL,"CALLADINE","WLM","","","","KLTN"
340,340,"P","GATESHEAD","1965-01-08","JOHN",NULL,NULL,NULL,"BESTWICK","JN","","","","BSTW"
341,341,"P","ROXWELL","1937-01-21","ROBERT","BRUCE",NULL,NULL,"RAFFERTY","RBRT","BRS","","","RFRT"
342,342,"P","LOUGHBOROUGH","1963-01-13","MARTIN","PHILIP",NULL,NULL,"DONOGHUE","MRTN","FLP","","","TNK"
343,343,"P","LONDON","1921-01-26","THOMAS",NULL,NULL,NULL,"GRIFFITHS","0MS","","","","KRF0"
344,344,"P","ABERDEEN","1968-01-13","RONALD","MATHIESON",NULL,NULL,"DOUGLAS","RNLT","M0SN","","","TKLS"
345,345,"P","LIVERPOOL","1933-01-11","WILLIAM","RONALD",NULL,NULL,"MARRON","WLM","RNLT","","","MRN"
346,346,"P","LITTLEBORO","1968-01-13","SAMANTHA","JANE",NULL,NULL,"MILES","SMN0","JN","","","MLS"
347,347,"P","HARPURHEY","1964-01-07","KEVIN","MICHAEL",NULL,NULL,"ANDERTON","KFN","MXL","","","ANTR"
348,348,"P","ST HELENS","1961-01-06","KEVIN",NULL,NULL,NULL,"LONG","KFN","","","","LNK"
349,349,"P","GILLINGHAM","1934-01-27","JOHN","BRIAN","YELTON",NULL,"ROBINSON","JN","BRN","YLTN","","RBNS"
350,350,"P","OXFORD","1954-01-23","DAVID","FRANCIS",NULL,NULL,"BEADSWORTH","TFT","FRNS","","","BTSW"
351,351,"P","GREAT HORWOD","1957-01-09","JOHN","PATRICK",NULL,NULL,"SMITH","JN","PTRK","","","SM0"
352,352,"P","WIGAN LANCS","1966-01-15","ANDREW",NULL,NULL,NULL,"HAMILTON","ANTR","","","","HMLT"
353,353,"P","LEICESTER","1974-01-21","ALAN","JOSEPH",NULL,NULL,"BUTTEN","ALN","JSF","","","BTN"
354,354,"P","RUGBY","1962-01-29","SHAUN",NULL,NULL,NULL,"RICHARDSON","XN","","","","RXRT"
355,355,"P","SHALBOURNE","1966-01-10","KARL","PETER",NULL,NULL,"HAYDEN","KRL","PTR","","","HTN"
356,356,"P","DUMFRIES","1942-01-14","ALEXANDER",NULL,NULL,NULL,"MCCARTNEY","ALKS","","","","MKKR"
357,357,"P","NORTHALLERTN","1959-01-02","DAVID","WILLIAM",NULL,NULL,"COXON","TFT","WLM","","","KKSN"
358,358,"P","BRADFORD","1951-01-14","DAVID",NULL,NULL,NULL,"COOKE","TFT","","","","KK"
359,359,"P","MANCHESTER","1955-01-13","NIGEL",NULL,NULL,NULL,"JONES","NJL","","","","JNS"
360,360,"P","LLANBRADACH","1963-01-09","STEPHEN","NOEL",NULL,NULL,"GUMBLEY","STFN","NL","","","KMBL"
361,361,"P","WINCHESTER","1940-01-19","ALAN","GRAHAM","RAYMOND",NULL,"MACINTYRE","ALN","KRHM","RMNT","","MSNT"
362,362,"P","BINCHESTER","1968-01-09","PAUL","ANDREW",NULL,NULL,"REWCASTLE","PL","ANTR","","","RKST"
363,363,"P","OLDHAM","1944-01-11","ELAINE",NULL,NULL,NULL,"CROOK","ELN","","","","KRK"
364,364,"P","SURREY","1963-01-14","PETER","CHARLES",NULL,NULL,"WALKER","PTR","KRLS","","","WLKR"
365,365,"P","BALHAM","1962-01-31","ANTHONY",NULL,NULL,NULL,"WARREN","AN0N","","","","WRN"
366,366,"P","HONG KONG","1927-01-05","LEE",NULL,NULL,NULL,"WARD","L","","","","WRT"
367,367,"P","BEVERLEY","1957-01-09","DAVID","HARRY",NULL,NULL,"WELCH","TFT","HR","","","WLX"
368,368,"P","W KILBRIDE","1935-01-19","JOHN",NULL,NULL,NULL,"GLEAVE","JN","","","","KLF"
369,369,"P","FALKIRK","1955-01-29","THOMAS","DRUMMOND",NULL,NULL,"JORDAN","0MS","TRMN","","","JRTN"
370,370,"P","CO DONEGAL","1935-01-04","EDWARD",NULL,NULL,NULL,"LOVERIDGE","ETWR","","","","LFRJ"
371,371,"P","MANCHESTER","1972-01-01","NAOMI",NULL,NULL,NULL,"ILLINGWORTH","NM","","","","ILNK"
372,372,"P","BIRMINGHAM","1945-01-22","ROGER","GEORGE",NULL,NULL,"LAING","RJR","JRJ","","","LNK"
373,373,"P","MOTHERWELL","1946-01-24","THOMAS",NULL,NULL,NULL,"FORBES","0MS","","","","FRBS"
374,374,"P","SHOTTON COLLIERY","1946-01-21","MARY","JANE",NULL,NULL,"WOODGATE","MR","JN","","","WTKT"
375,375,"P","KENDAL","1974-01-12","BRENDA",NULL,NULL,NULL,"THOMPSON","BRNT","","","","0MPS"
376,376,"P","YORK","1931-01-25","HAMILTON","FORBES",NULL,NULL,"RABEY","HMLT","FRBS","","","RB"
377,377,"P","STANLEY","1956-01-05","KENNETH","MALCOLM",NULL,NULL,"DUNCAN","KN0","MLKL","","","TNKN"
378,378,"P","TAPLOW BERKS","1975-01-08","LOUISE","MARIE",NULL,NULL,"DOCKERTY","LS","MR","","","TKRT"
379,379,"P","COVENTRY","1962-01-26","KENNETH","JOHN",NULL,NULL,"LISH","KN0","JN","","","LX"
380,380,"P","HULL","1955-01-04","SUSAN","KATHRYN",NULL,NULL,"HUNT","SSN","K0RN","","","HNT"
381,381,"P","NOTTINGHAM","1958-01-19","FRANK",NULL,NULL,NULL,"HAMILTON","FRNK","","","","HMLT"
382,382,"P","WOLVERHAMPTN","1955-01-30","COLIN","JOHN",NULL,NULL,"GRINTER","KLN","JN","","","KRNT"
383,383,"P","NOTTINGHAM","1969-01-23","COLIN","RICHARD","DONALD",NULL,"ROBERTS","KLN","RXRT","TNLT","","RBRT"
384,384,"P","BATH AVON","1976-01-31","SHANE","LEE",NULL,NULL,"ANDREW","XN","L","","","ANTR"
385,385,"P","MANCHESTER","1956-01-21","GARY",NULL,NULL,NULL,"HUGHES","KR","","","","HKS"
386,386,"P","MANCHESTER","1966-01-18","LEWIS",NULL,NULL,NULL,"GRAY","LWS","","","","KR"
387,387,"P","MANCHESTER","1943-01-27","COLIN",NULL,NULL,NULL,"STANSBRIDGE","KLN","","","","STNS"
388,388,"P","PORTSMOUTH","1956-01-07","LESLEY","KAREN",NULL,NULL,"PILKINGTON","LSL","KRN","","","PLKN"
389,389,"P","BOURNEMOUTH","1955-01-06","PETER","JOHN",NULL,NULL,"MOODY","PTR","JN","","","MT"
390,390,"P","SCOTLAND","1946-01-27","JOHN",NULL,NULL,NULL,"SMITH","JN","","","","SM0"
391,391,"P","MOMBASA","1950-01-22","JANE","KATE",NULL,NULL,"FUSEDALE","JN","KT","","","FSTL"
392,392,"P","LONDON","1940-01-23","PAMELA","ANNE",NULL,NULL,"TWIST","PML","AN","","","TWST"
393,393,"P","BURTON-UPON-TRENT 21","1966-01-07","PAUL","THOMAS",NULL,NULL,"BETHEL","PL","0MS","","","B0L"
394,394,"P","MANSFIELD","1958-01-20","PETER","WILLIAM",NULL,NULL,"BEVAN","PTR","WLM","","","BFN"
395,395,"P","DONCASTER","1929-01-20","TREVOR","ARTHUR",NULL,NULL,"TOMPKINS","TRFR","AR0R","","","TMPK"
396,396,"P","EXETER DEVON","1957-01-17","DAVID","KENNETH",NULL,NULL,"HAY","TFT","KN0","","","H"
397,397,"P","CHESTER","1959-01-02","MICHAEL","PATRICK",NULL,NULL,"FINNEY","MXL","PTRK","","","FN"
398,398,"P","DALKEITH","1950-01-24","DAVID",NULL,NULL,NULL,"HILLS","TFT","","","","HLS"
399,399,"P","LONDON","1956-01-10","PIRLANTA",NULL,NULL,NULL,"ATKINSON","PRLN","","","","ATKN"
400,400,"P","ECCLES","1968-01-16","LEE","ANDREW","JAMES",NULL,"COOPER","L","ANTR","JMS","","KPR"
401,401,"P","NOTTINGHAM","1969-01-13","NIGEL","ELEAGER",NULL,NULL,"ALDERSON-LYONS","NJL","ELJR","","","ALTR"
402,402,"P","DERBY","1960-01-23","GARY","STEPHEN",NULL,NULL,"DICKINSON","KR","STFN","","","TKNS"
403,403,"P","HONG KONG","1960-01-08","DAVID","YUEN",NULL,NULL,"MCKINNON","TFT","YN","","","MKNN"
404,404,"P","NEWBURN","1926-01-13","JAMES",NULL,NULL,NULL,"THOROGOOD","JMS","","","","0RKT"
405,405,"P","BURTON/TRENT","1961-01-06","MARTIN","ANDREW",NULL,NULL,"BERNTSEN","MRTN","ANTR","","","BRNT"
406,406,"P","KENILWORTH","1968-01-25","JULIAN","CHARLES",NULL,NULL,"COOPER","JLN","KRLS","","","KPR"
407,407,"P","WALLASEY","1959-01-18","CHRISTOPHER","LAURENCE",NULL,NULL,"ASTELL","XRST","LRNS","","","ASTL"
408,408,"P","CAERAU","1952-01-24","JOHN",NULL,NULL,NULL,"HEMBLING","JN","","","","HMBL"
409,409,"P","DUBLIN","1935-01-09","ROBERT",NULL,NULL,NULL,"ABBEY","RBRT","","","","AB"
410,410,"P","BRADFORD","1970-01-30","JAIME","ROY",NULL,NULL,"HARDIE","JM","R","","","HRT"
411,411,"P","DERBY","1969-01-20","DENNIS","PAUL",NULL,NULL,"BURGESS","TNS","PL","","","BRJS"
412,412,"P","ROMFORD","1964-01-07","KEVIN","JOHN",NULL,NULL,"MANOKARAN","KFN","JN","","","MNKR"
413,413,"P","BROWNHILLS","1968-01-03","ANDREW","JAMES",NULL,NULL,"AITCHISON","ANTR","JMS","","","AXSN"
414,414,"P","LONGTON","1950-01-30","MICHAEL","JOHN",NULL,NULL,"LOWDEN","MXL","JN","","","LTN"
415,415,"P","LONDON","1967-01-08","SEAN","ROBERT",NULL,NULL,"FONG","SN","RBRT","","","FNK"
416,416,"P","HML HEMPSTED","1941-01-08","MICHAEL","FRANK",NULL,NULL,"HERBERT","MXL","FRNK","","","HRBR"
417,417,"P","WOOLWICH LDN","1968-01-20","FRANK","THOMAS",NULL,NULL,"LARKIN","FRNK","0MS","","","LRKN"
418,418,"P","GLASGOW","1939-01-25","ROBERT",NULL,NULL,NULL,"WALKOM","RBRT","","","","WLKM"
419,419,"P","BURTON/TRENT","1960-01-20","RICHARD",NULL,NULL,NULL,"DEAN","RXRT","","","","TN"
420,420,"P","EIRE","1955-01-06","PATRICK",NULL,NULL,NULL,"SMITH","PTRK","","","","SM0"
421,421,"P",NULL,"1949-01-09","JAMES",NULL,NULL,NULL,"WILLIAMS","JMS","","","","WLMS"
422,422,"P","WATFORD","1967-01-29","ERROL","FITZROY",NULL,NULL,"EVANS","ERL","FTSR","","","EFNS"
423,423,"P","HAYLING ISLE","1954-01-13","THOMAS","DANIEL","WILLIAM",NULL,"WILSON","0MS","TNL","WLM","","WLSN"
424,424,"P","GLOUCESTER","1959-01-09","GREGORY","CHARLES",NULL,NULL,"HOOK","KRKR","KRLS","","","HK"
425,425,"P","SRI LANKA","1951-01-21","KRISHNASAMY",NULL,NULL,NULL,"KITAURE","KRXN","","","","KTR"
426,426,"P","GLASGOW","1937-01-19","NEIL",NULL,NULL,NULL,"CHADBOURNE","NL","","","","KTBR"
427,427,"P","SHILLINGTON","1969-01-25","KEVIN","PAUL",NULL,NULL,"CLARKE","KFN","PL","","","KLRK"
428,428,"P","CLUN","1965-01-17","ROGER","JOHN",NULL,NULL,"MARSHALL","RJR","JN","","","MRXL"
429,429,"P",NULL,"1943-01-21","PETER","BASIL",NULL,NULL,"DAVIS","PTR","BSL","","","TFS"
430,430,"P","WILTS","1933-01-30","DENNIS","RONALD","CHARLES",NULL,"SMITH","TNS","RNLT","KRLS","","SM0"
431,431,"P","WOLVERHAMPTN","1970-01-05","PHILIP","ALAN",NULL,NULL,"WATT","FLP","ALN","","","WT"
432,432,"P","MIRFIELD","1958-01-08","JEANETTE",NULL,NULL,NULL,"BRETT","JNT","","","","BRT"
433,433,"P","PLYMOUTH","1920-01-10","JAMES","LEONARD",NULL,NULL,"SCOTTING","JMS","LNRT","","","SKTN"
434,434,"P","BLOXWICH","1965-01-25","ALAN","DAVID",NULL,NULL,"READ","ALN","TFT","","","RT"
435,435,"P","NEW ZEALAND","1949-01-25","IAN","ROBERT",NULL,NULL,"COLLINS","IN","RBRT","","","KLNS"
436,436,"P","FOREST GATE","1964-01-06","JOHN","PAUL",NULL,NULL,"RIDDY","JN","PL","","","RT"
437,437,"P","SHREWSBURY","1968-01-26","COLIN","ANDREW",NULL,NULL,"TUNBRIDGE","KLN","ANTR","","","TNBR"
438,438,"P","LEIGHTN BUZZ","1959-01-27","MARTYN",NULL,NULL,NULL,"TERRETT","MRTN","","","","TRT"
439,439,"P","MANCHESTER","1941-01-09","ERIC","EDMUND",NULL,NULL,"MCNULTY","ERK","ETMN","","","MKNL"
440,440,"P","INSCH","1948-01-25","GRANT",NULL,NULL,NULL,"HETHERINGTON","KRNT","","","","H0RN"
